id,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
55,0.000000,0.000010,0.000001,0.000000,0.998910,0.000009,0.000116,0.000000,0.000086,0.000867
56,0.000000,0.000453,0.000011,0.000554,0.020142,0.002558,0.000000,0.024645,0.001781,0.949855
57,0.000000,0.005372,0.000007,0.000065,0.022972,0.000077,0.000000,0.003180,0.002137,0.966189
58,0.000006,0.000029,0.997775,0.000302,0.000000,0.000026,0.000375,0.000000,0.001487,0.000000
59,0.000000,0.886188,0.008590,0.000863,0.005048,0.000129,0.000124,0.000002,0.096689,0.002367
60,0.000000,0.000184,0.000000,0.000011,0.266390,0.000537,0.000000,0.000310,0.000692,0.731876
61,0.000004,0.000011,0.000024,0.000001,0.993587,0.000423,0.001000,0.000023,0.000497,0.004431
62,0.000000,0.003177,0.002663,0.001103,0.001249,0.004756,0.000417,0.000002,0.984865,0.001768
63,0.000000,0.003550,0.000136,0.042130,0.000001,0.000170,0.000000,0.848543,0.000762,0.104707
64,0.000000,0.000589,0.000689,0.974445,0.000000,0.018263,0.000000,0.002556,0.002152,0.001306
65,0.000000,0.007398,0.000006,0.000129,0.003139,0.000033,0.000000,0.009415,0.001255,0.978625
66,0.000000,0.000046,0.000196,0.011402,0.000001,0.000464,0.000000,0.975866,0.000090,0.011934
67,0.000000,0.000120,0.000039,0.000002,0.986496,0.000397,0.000802,0.000008,0.003006,0.009130
68,0.000000,0.000148,0.000008,0.000001,0.985382,0.000310,0.000325,0.000002,0.003496,0.010330
69,0.000000,0.000023,0.000002,0.000000,0.998920,0.000008,0.000340,0.000000,0.000255,0.000451
70,0.000000,0.002586,0.000030,0.000093,0.130226,0.000531,0.000002,0.004849,0.004407,0.857276
71,0.000001,0.030545,0.625017,0.004095,0.000052,0.000310,0.000106,0.000099,0.339409,0.000366
72,0.000110,0.000000,0.000014,0.088791,0.000005,0.880971,0.000000,0.013252,0.006129,0.010727
73,0.000039,0.000398,0.005380,0.000007,0.888013,0.001389,0.063075,0.000005,0.039309,0.002386
74,0.000000,0.000005,0.000004,0.005444,0.000006,0.001218,0.000000,0.950557,0.000009,0.042758
75,0.000246,0.000000,0.001002,0.000000,0.005159,0.000119,0.993024,0.000000,0.000450,0.000000
76,0.000201,0.000000,0.000001,0.000024,0.715406,0.064450,0.000066,0.020403,0.000335,0.199113
77,0.000000,0.023357,0.000178,0.000329,0.152008,0.000747,0.000006,0.002421,0.017305,0.803650
78,0.981093,0.000000,0.000395,0.000047,0.000000,0.017721,0.000667,0.000005,0.000073,0.000000
79,0.007223,0.000000,0.000010,0.001448,0.000038,0.986566,0.000056,0.000210,0.003921,0.000528
64,0.000000,0.001030,0.001774,0.001730,0.000017,0.001081,0.000004,0.000010,0.993255,0.001099
65,0.005903,0.000000,0.000006,0.003237,0.000011,0.989034,0.000015,0.000457,0.000923,0.000413
66,0.000919,0.000000,0.000233,0.000000,0.007850,0.000283,0.990343,0.000000,0.000372,0.000000
67,0.000543,0.000000,0.000241,0.000000,0.000160,0.000056,0.998752,0.000000,0.000248,0.000000
68,0.006757,0.000000,0.000015,0.005360,0.000006,0.984985,0.000020,0.000326,0.002253,0.000277
69,0.000000,0.000224,0.000932,0.011796,0.000001,0.000224,0.000000,0.972452,0.000547,0.013823
70,0.000000,0.000580,0.000765,0.000137,0.000172,0.000661,0.000049,0.000000,0.997131,0.000504
71,0.000000,0.997128,0.000076,0.000144,0.000041,0.000001,0.000000,0.000001,0.001429,0.001180
72,0.996951,0.000000,0.000000,0.000000,0.000000,0.002267,0.000781,0.000000,0.000001,0.000000
73,0.000000,0.989986,0.000259,0.000182,0.000218,0.000002,0.000000,0.000004,0.005646,0.003703
74,0.000460,0.000000,0.000230,0.000000,0.000683,0.000063,0.998462,0.000000,0.000103,0.000000
75,0.000001,0.003612,0.002489,0.000024,0.760869,0.000946,0.001384,0.000130,0.158706,0.071839
76,0.000676,0.000000,0.000846,0.000001,0.007916,0.001179,0.987963,0.000000,0.001418,0.000000
77,0.000000,0.000000,0.000000,0.000985,0.000000,0.000080,0.000000,0.994739,0.000000,0.004196
78,0.000014,0.000257,0.169499,0.812695,0.000000,0.004556,0.000000,0.006296,0.006634,0.000049
79,0.000000,0.998084,0.000284,0.000154,0.000034,0.000000,0.000000,0.000002,0.000855,0.000588
80,0.000000,0.000197,0.000038,0.003600,0.000002,0.000069,0.000000,0.950319,0.000068,0.045707
81,0.000000,0.995175,0.000344,0.001750,0.000024,0.000005,0.000000,0.000007,0.001329,0.001366
82,0.000000,0.001483,0.004342,0.000635,0.000027,0.000426,0.000010,0.000005,0.992531,0.000541
83,0.000000,0.000372,0.998548,0.000277,0.000000,0.000001,0.000006,0.000000,0.000797,0.000000
84,0.994106,0.000000,0.000001,0.000000,0.000000,0.002099,0.003793,0.000000,0.000002,0.000000
85,0.000002,0.374992,0.099325,0.010457,0.235767,0.013603,0.009422,0.000208,0.215673,0.040551
86,0.000000,0.000895,0.000000,0.000024,0.008389,0.000046,0.000000,0.001536,0.000803,0.988307
87,0.000228,0.000459,0.022854,0.064827,0.000450,0.111488,0.000034,0.124249,0.572656,0.102756
88,0.027122,0.000000,0.000400,0.001093,0.003288,0.929539,0.006694,0.000149,0.030214,0.001500
89,0.015891,0.000000,0.000370,0.002404,0.000311,0.943031,0.002826,0.000049,0.034704,0.000413
90,0.000000,0.964310,0.001171,0.003928,0.001085,0.000056,0.000000,0.000330,0.002638,0.026483
91,0.000608,0.000001,0.000013,0.000768,0.018342,0.960228,0.001027,0.000122,0.009769,0.009121
92,0.000448,0.000001,0.001391,0.000000,0.031189,0.000298,0.966250,0.000000,0.000422,0.000001
93,0.992012,0.000000,0.000001,0.000000,0.000002,0.006579,0.001403,0.000000,0.000004,0.000000
94,0.000008,0.000047,0.059993,0.937251,0.000000,0.002034,0.000000,0.000482,0.000183,0.000001
95,0.000004,0.001348,0.000487,0.000127,0.951577,0.005637,0.002322,0.000130,0.004362,0.034006
80,0.000001,0.000002,0.000009,0.000000,0.981569,0.000128,0.015134,0.000000,0.003017,0.000140
81,0.000446,0.000000,0.000480,0.000000,0.000224,0.000059,0.998709,0.000000,0.000082,0.000000
82,0.011327,0.000000,0.000001,0.001186,0.000002,0.986317,0.000005,0.000238,0.000789,0.000136
83,0.000000,0.000002,0.000000,0.000000,0.998639,0.000009,0.000039,0.000000,0.000044,0.001266
84,0.000596,0.000000,0.001280,0.000000,0.003850,0.000145,0.993715,0.000000,0.000414,0.000000
85,0.000296,0.000001,0.000030,0.006829,0.000962,0.938043,0.000055,0.001301,0.029057,0.023426
86,0.000001,0.000031,0.000009,0.000004,0.901395,0.000979,0.000053,0.000784,0.001018,0.095728
87,0.075167,0.000005,0.005694,0.016050,0.004034,0.883701,0.009760,0.002263,0.001753,0.001573
88,0.000000,0.999172,0.000126,0.000134,0.000005,0.000000,0.000000,0.000000,0.000442,0.000121
89,0.000000,0.000004,0.000000,0.000000,0.996090,0.000211,0.000131,0.000001,0.000150,0.003412
90,0.000000,0.000006,0.000001,0.000001,0.990202,0.000816,0.000271,0.000005,0.000726,0.007973
91,0.000000,0.000078,0.000114,0.015047,0.000000,0.000079,0.000000,0.977532,0.000155,0.006995
92,0.000000,0.002857,0.739672,0.246246,0.000000,0.000296,0.000001,0.000003,0.010924,0.000000
93,0.000000,0.008574,0.003955,0.962504,0.000002,0.009467,0.000000,0.004574,0.007257,0.003666
94,0.000002,0.000156,0.995708,0.000309,0.000000,0.000014,0.000111,0.000000,0.003699,0.000000
95,0.000001,0.004911,0.002696,0.175899,0.000233,0.013952,0.000000,0.608348,0.003279,0.190679
96,0.000000,0.996264,0.000600,0.001296,0.000023,0.000003,0.000000,0.000011,0.000784,0.001020
97,0.000037,0.000107,0.002974,0.000510,0.004045,0.028078,0.002739,0.000013,0.958963,0.002534
98,0.000000,0.998617,0.000087,0.000221,0.000012,0.000000,0.000000,0.000003,0.000302,0.000757
99,0.000000,0.000286,0.003254,0.000152,0.000101,0.000956,0.000244,0.000000,0.994899,0.000107
100,0.000000,0.993477,0.000141,0.001072,0.000026,0.000002,0.000000,0.000037,0.000714,0.004531
101,0.000001,0.000281,0.003970,0.000162,0.000526,0.002600,0.001673,0.000000,0.990629,0.000157
102,0.007781,0.000000,0.000365,0.005141,0.000255,0.964650,0.001554,0.000077,0.019660,0.000515
103,0.998166,0.000000,0.000000,0.000000,0.000000,0.001798,0.000036,0.000000,0.000000,0.000000
104,0.000002,0.011133,0.015840,0.002427,0.006131,0.010708,0.004998,0.000003,0.946973,0.001787
105,0.000000,0.013307,0.000033,0.000038,0.174392,0.000095,0.000001,0.001247,0.004498,0.806390
106,0.000000,0.000339,0.924118,0.073735,0.000000,0.000030,0.000000,0.000002,0.001777,0.000000
107,0.000595,0.000000,0.000128,0.092533,0.000003,0.875360,0.000003,0.004322,0.024507,0.002549
108,0.999506,0.000000,0.000000,0.000000,0.000000,0.000446,0.000048,0.000000,0.000000,0.000000
109,0.000000,0.974201,0.002508,0.013162,0.000135,0.000093,0.000001,0.000054,0.005357,0.004490
110,0.000000,0.936462,0.000670,0.001389,0.000261,0.000011,0.000000,0.000515,0.012336,0.048356
111,0.000000,0.956083,0.001308,0.009992,0.000679,0.000207,0.000001,0.000065,0.014768,0.016897
96,0.989486,0.000000,0.000013,0.000002,0.000000,0.008121,0.002374,0.000000,0.000003,0.000000
97,0.000002,0.002698,0.000371,0.001863,0.358786,0.038519,0.000244,0.002218,0.048684,0.546615
98,0.996782,0.000000,0.000000,0.000000,0.000000,0.003176,0.000042,0.000000,0.000000,0.000000
99,0.000002,0.287539,0.112433,0.341457,0.002851,0.036152,0.000249,0.002634,0.178867,0.037816
100,0.000000,0.973835,0.000403,0.000111,0.003081,0.000009,0.000003,0.000000,0.019429,0.003128
101,0.000532,0.000000,0.000055,0.000000,0.000147,0.000055,0.999134,0.000000,0.000078,0.000000
102,0.000000,0.000005,0.000001,0.000000,0.984317,0.000484,0.000094,0.000009,0.000823,0.014267
103,0.000000,0.000423,0.969685,0.027520,0.000000,0.000016,0.000000,0.000014,0.002340,0.000000
104,0.000000,0.000029,0.003578,0.993949,0.000000,0.000797,0.000000,0.001333,0.000308,0.000006
105,0.000626,0.000000,0.000705,0.000000,0.000543,0.000071,0.997882,0.000000,0.000174,0.000000
106,0.000000,0.994493,0.000451,0.000699,0.000026,0.000002,0.000000,0.000024,0.001730,0.002575
107,0.000000,0.992020,0.000864,0.003166,0.000057,0.000012,0.000000,0.000019,0.001723,0.002139
108,0.000000,0.994400,0.001567,0.000779,0.000120,0.000004,0.000000,0.000015,0.001535,0.001579
109,0.000000,0.004347,0.001553,0.983622,0.000001,0.006157,0.000000,0.001618,0.001543,0.001159
110,0.000000,0.000952,0.000000,0.000032,0.054182,0.000382,0.000000,0.000198,0.005793,0.938461
111,0.003570,0.000001,0.000111,0.002443,0.003297,0.961995,0.000960,0.000479,0.020798,0.006347
112,0.000001,0.000155,0.998231,0.000085,0.000000,0.000003,0.000161,0.000000,0.001364,0.000000
113,0.000000,0.004968,0.000003,0.000799,0.028307,0.001629,0.000000,0.001484,0.002131,0.960678
114,0.000001,0.000004,0.000001,0.000001,0.971413,0.001010,0.000069,0.000105,0.000281,0.027115
115,0.001566,0.000009,0.000475,0.045889,0.000946,0.792249,0.000038,0.082889,0.010713,0.065226
116,0.000000,0.001080,0.000001,0.000543,0.002146,0.000284,0.000000,0.023637,0.000234,0.972075
117,0.000000,0.018678,0.002817,0.948886,0.000001,0.001900,0.000000,0.018449,0.003018,0.006252
118,0.000000,0.003070,0.000002,0.000098,0.009964,0.000174,0.000000,0.000821,0.006357,0.979516
119,0.952226,0.000000,0.000117,0.000010,0.000039,0.043208,0.004007,0.000009,0.000382,0.000003
120,0.000000,0.000273,0.000076,0.985088,0.000000,0.000129,0.000000,0.014211,0.000058,0.000164
121,0.085904,0.000000,0.000120,0.000004,0.006240,0.113619,0.790570,0.000000,0.003540,0.000003
122,0.008402,0.000000,0.000164,0.012212,0.000390,0.940361,0.000061,0.021851,0.004450,0.012110
123,0.009125,0.000000,0.000120,0.009209,0.000053,0.979008,0.000337,0.000145,0.001766,0.000238
124,0.000000,0.000000,0.000000,0.000043,0.000000,0.000030,0.000000,0.944476,0.000000,0.055450
125,0.012825,0.000001,0.975467,0.003268,0.000000,0.003350,0.002532,0.000002,0.002556,0.000000
126,0.000013,0.000007,0.996993,0.000414,0.000000,0.000029,0.000043,0.000000,0.002502,0.000000
127,0.000000,0.000002,0.000001,0.001142,0.000000,0.000017,0.000000,0.992682,0.000001,0.006156
112,0.000000,0.908869,0.033387,0.015476,0.002780,0.000587,0.000029,0.000478,0.022868,0.015526
113,0.000005,0.000031,0.989158,0.006454,0.000000,0.000128,0.000014,0.000001,0.004209,0.000000
114,0.000000,0.000454,0.001228,0.000144,0.000575,0.001547,0.000272,0.000001,0.995207,0.000574
115,0.000004,0.000168,0.000129,0.000014,0.977600,0.002482,0.002164,0.000036,0.003384,0.014019
116,0.000000,0.998393,0.000166,0.000213,0.000012,0.000000,0.000000,0.000004,0.000473,0.000739
117,0.000000,0.000004,0.000003,0.004126,0.000000,0.000166,0.000000,0.983646,0.000005,0.012049
118,0.000006,0.000186,0.003388,0.957896,0.000000,0.016092,0.000000,0.021457,0.000400,0.000574
119,0.000000,0.010024,0.008686,0.960419,0.000001,0.005816,0.000000,0.001218,0.012840,0.000995
120,0.000068,0.000016,0.000895,0.000234,0.003068,0.054973,0.006727,0.000001,0.933282,0.000735
121,0.000000,0.005552,0.019344,0.395621,0.000002,0.007290,0.000000,0.092296,0.448388,0.031506
122,0.000000,0.000015,0.000058,0.040836,0.000000,0.001171,0.000000,0.947405,0.000095,0.010420
123,0.000000,0.001471,0.000005,0.000099,0.010051,0.000090,0.000000,0.029016,0.000279,0.958989
124,0.000003,0.000034,0.999098,0.000190,0.000000,0.000008,0.000211,0.000000,0.000456,0.000000
125,0.000000,0.002137,0.994560,0.000206,0.000000,0.000004,0.000150,0.000000,0.002943,0.000000
126,0.000000,0.000003,0.000000,0.000000,0.999388,0.000006,0.000147,0.000000,0.000067,0.000388
127,0.000000,0.998084,0.000072,0.000394,0.000017,0.000001,0.000000,0.000005,0.000239,0.001189
128,0.000496,0.000000,0.000029,0.012261,0.000078,0.968456,0.000025,0.000698,0.013811,0.004145
129,0.000039,0.000257,0.001707,0.018260,0.002410,0.173311,0.000060,0.008489,0.648818,0.146647
130,0.000000,0.000766,0.001207,0.000048,0.002945,0.000568,0.000115,0.000007,0.990152,0.004191
131,0.000034,0.000051,0.000364,0.029585,0.000305,0.025328,0.000001,0.864007,0.000208,0.080118
132,0.000159,0.003618,0.944260,0.021260,0.000114,0.005318,0.002083,0.000193,0.022876,0.000118
133,0.000010,0.062396,0.102591,0.715889,0.000652,0.074511,0.000375,0.001620,0.035289,0.006669
134,0.997577,0.000000,0.000004,0.000000,0.000000,0.000945,0.001472,0.000000,0.000002,0.000000
135,0.000389,0.000086,0.121935,0.000020,0.003899,0.000871,0.865717,0.000000,0.007082,0.000001
136,0.000000,0.000003,0.000000,0.000000,0.997590,0.000014,0.000057,0.000001,0.000201,0.002135
137,0.000000,0.075502,0.913017,0.006254,0.000000,0.000006,0.000005,0.000000,0.005215,0.000000
138,0.000000,0.000065,0.000001,0.000001,0.906011,0.000375,0.000013,0.000013,0.002954,0.090567
139,0.000000,0.906143,0.006974,0.028279,0.001292,0.000939,0.000009,0.000180,0.036114,0.020071
140,0.000000,0.000366,0.000000,0.000013,0.012008,0.000037,0.000000,0.001867,0.000146,0.985563
141,0.004610,0.000000,0.000028,0.003256,0.000127,0.988385,0.000190,0.000157,0.002606,0.000640
142,0.000000,0.000000,0.000000,0.001080,0.000000,0.000036,0.000000,0.993385,0.000001,0.005498
143,0.000000,0.000017,0.000012,0.013130,0.000000,0.000390,0.000000,0.964866,0.000034,0.021549
128,0.000000,0.131259,0.772997,0.083234,0.000000,0.000016,0.000000,0.000006,0.012485,0.000003
129,0.000001,0.008213,0.019435,0.001094,0.003154,0.005332,0.008987,0.000000,0.953401,0.000383
130,0.000005,0.000017,0.999108,0.000049,0.000000,0.000004,0.000364,0.000000,0.000453,0.000000
131,0.948226,0.000000,0.000110,0.000024,0.000012,0.047233,0.004338,0.000003,0.000052,0.000001
132,0.000000,0.000466,0.002203,0.000913,0.000047,0.001788,0.000021,0.000007,0.993740,0.000816
133,0.008149,0.000004,0.002780,0.050710,0.000100,0.908498,0.000448,0.001779,0.026018,0.001514
134,0.000000,0.000000,0.000000,0.000532,0.000000,0.000044,0.000000,0.995948,0.000000,0.003476
135,0.000000,0.000001,0.000000,0.000904,0.000000,0.000018,0.000000,0.990149,0.000001,0.008928
136,0.000000,0.112529,0.000135,0.005606,0.035965,0.003699,0.000004,0.000855,0.052846,0.788361
137,0.000000,0.998986,0.000069,0.000128,0.000005,0.000000,0.000000,0.000000,0.000555,0.000257
138,0.000561,0.000016,0.002453,0.000139,0.012480,0.084452,0.132662,0.000000,0.766980,0.000256
139,0.000000,0.996076,0.000051,0.000197,0.000086,0.000001,0.000000,0.000004,0.000538,0.003046
